ID;Name;Description;Coordinates
3677677;RUE DE LA FERME;ROND-POINT MARTIN LUTHER KING - 77258;48.8359484574,2.62990289517
3677688;COLLEGE LE LUZARD;COURS DES ROCHES - 77337;48.8467902961,2.61369101
3678812;ZONE TECHNIQUE;ROUTE DES ANNIVERSAIRES - 95527;49.0119496186,2.5332905562
3678816;ENTRETIEN NORD;ROUTE DE L'ARPENTEUR - 95527;49.0114652199,2.51552950645
3682876;AVRON;63 BOULEVARD ALSACE-LORRAINE - 94058;48.8500655011,2.49939528589
3682892;PLACE DE LA RESISTANCE;FACE 52 AVENUE DU GENERAL DE GAULLE - 93050;48.8568322265,2.53011636369
3682907;AVENUE DES MARTYRS;49 AVENUE DU MARECHAL FOCH - 77108;48.8706786201,2.57648895982
3682970;CHELLES - GOURNAY RER;PISTE GARE ROUTIERE - 77108;48.8744671511,2.58293737522
3682980;DISPENSAIRE;FACE 39 RUE DE LA LIBERTE - 77108;48.8767496173,2.59993914757
3682998;NEUILLY-PLAISANCE RER;BOULEVARD GALLIENI - 93049;48.8528305972,2.51416708032
3683000;HELENE BOUCHER;FACE 11 BOULEVARD DU MARECHAL FOCH - 93050;48.8542938059,2.52125422739
3683018;LES CHANOUX - LYCEE CUGNOT;RUE LOUIS VANNINI - 93050;48.8650165142,2.52080187056
3683053;FRANCOIS MAURIAC;13 BOULEVARD ARISTIDE BRIAND - 93049;48.8556887852,2.52000614566
3685693;ANDRE LAURENT;95 AVENUE DE LA REPUBLIQUE - 94033;48.8531609882,2.45842472981
3685710;JEAN MACE;14 AV CHARLES GARCIA - 94033;48.8557049943,2.48207479406
3685715;JULES GUESDE;FACE 287 AV DE LA REPUBLIQUE - 93064;48.8623287414,2.48206604851
3685734;CHATEAU DE VINCENNES;PISTE GARE ROUTIERE - 75112;48.8442170813,2.44079723454
3685757;CHARLES GARCIA;AVENUE DU MARECHAL JOFFRE - 94033;48.8526418121,2.4807996665
3685816;VAL DE FONTENAY RER;10-12 AVENUE DU VAL DE FONTENAY - 94033;48.8534150426,2.48782935918
3685828;MEDERIC;72 AVENUE DE LA REPUBLIQUE - 93064;48.8668556506,2.48429921025
3685862;AVENUE DU CHATEAU;FACE 10 AVENUE DE PARIS - 94080;48.8446246824,2.43709423281
3685874;HECTOR MALOT;70 AVENUE DE STALINGRAD - 94033;48.8518828941,2.45121735798
3685930;VEDRINES;54 AVENUE ERNEST RENAN - 94033;48.8560696327,2.46161860012
3685931;ERNEST RENAN;172-174 AVENUE ERNEST RENAN - 93048;48.8565224898,2.46678170321
3685974;VEDRINES;23 AVENUE ERNEST RENAN - 93048;48.8561601595,2.4609922971
3686070;NOGENT-LE-PERREUX RER;10 PLACE ROBERT BELVAUX - 94058;48.8381727427,2.49436130739
3686299;ECOLE VETERINAIRE DE MAISONS-ALFORT;31-35 AVENUE DU GENERAL LECLERC - 94046;48.8147969334,2.42270643461
7260959;LANGEVIN - WALLON;AVENUE DU GENERAL LECLERC - 93027;48.9270177692,2.37991628424
7260963;RU DE MONTFORT;AVENUE DU FRANC MOISIN - 93066;48.9282971853,2.36948353594
7260987;SAINT-DENIS - UNIVERSITE;PISTE GARE ROUTIERE - 93066;48.9459486802,2.36403708188
7266014;PORTE DE L'ESSONNE.;PISTE GARE ROUTIERE - 91027;48.7145513546,2.3721355659
7266017;MARX DORMOY;AVENUE FRANCOIS MITTERRAND - 91027;48.7036035904,2.37143564263
7266027;OBSERVATOIRE CAMILLE FLAMMARION.;40 BIS AVENUE DE LA COUR DE FRANCE - 91326;48.6954509427,2.37156606559
7266030;MARX DORMOY.;FACE 75 AVENUE FRANCOIS MITTERRAND - 91027;48.7036124451,2.37189737003
7266036;COEUR D'ORLY - TRAMWAY;AVENUE DE L'UNION - 94054;48.7340383826,2.37133336104
7275123;GERARD DE NERVAL;AVENUE DE LA PORTE DE MONTMARTRE - 75118;48.9007204012,2.33519629626
7275132;SIMPLON;46 BOULEVARD ORNANO - 75118;48.8948064764,2.34715016514
7275139;MAGENTA - MAUBEUGE - GARE DU NORD;140-142 BOULEVARD DE MAGENTA - 75110;48.8813341943,2.35171250385
7275143;GARE DE L'EST;74 BOULEVARD DE STRASBOURG - 75110;48.8755903947,2.35801931852
7275158;AUGUSTE COMTE;68 BOULEVARD SAINT-MICHEL - 75106;48.844145249,2.33887508382
7275161;HOPITAL SAINT-VINCENT DE PAUL;76 AVENUE DENFERT-ROCHEREAU - 75114;48.8373686296,2.33511711758
7275205;GRANGE ORY;127 AVENUE ARISTIDE BRIAND - 94003;48.8016597945,2.32419321859
7275207;DENFERT-ROCHEREAU - DAGUERRE;15 AVENUE DU GENERAL LECLERC - 75114;48.832254539,2.33088346418
7275211;LUXEMBOURG;75 BOULEVARD SAINT-MICHEL - 75105;48.8460415877,2.34027772794
7275263;LA GARENNE-COLOMBES - CHARLEBOURG;BOULEVARD NATIONAL - 92035;48.9063508218,2.2390412403
7275264;NORDMANN;5 BOULEVARD NATIONAL - 92035;48.9047420584,2.23894886031
7275313;PONT NEUF - QUAI DU LOUVRE;FACE 22 QUAI DE LA MEGISSERIE - 75101;48.8582374813,2.34293444268
7275326;PONT DE NEUILLY - RIVE GAUCHE;BOULEVARD DE NEUILLY - 92026;48.8871115644,2.25374155982
7275335;GENERAL DE GAULLE;AVENUE DE L'ABBE PIERRE - 91345;48.6976162279,2.29976448912
7275360;JEAN MERMOZ;29 RUE DE LONGJUMEAU - 91377;48.7281777604,2.27934917568
7275397;CONDORCET - MAIRIE-RER;6 BOULEVARD CARNOT - 92014;48.7790630259,2.31610703645
7275400;BARBUSSE - LARROUMES;FACE 74 AVENUE LARROUMES - 94038;48.7755590272,2.32573645028
7275406;RUE DES JARDINS;AVENUE ARISTIDE BRIAND - 94038;48.7802962432,2.33526906489
7275449;CITE - PALAIS DE JUSTICE;FACE 1 BOULEVARD DU PALAIS - 75101;48.855819671,2.34608037373
7275483;LES COUDREES;BOULEVARD DU PARISIS - 95176;48.9517346062,2.20218146851
7275517;BORDEREL - HELOISE;FACE 14 BOULEVARD HELOISE - 95018;48.9426067793,2.25437511316
7275526;GRAMME;299 AVENUE D'ARGENTEUIL - 92009;48.9234686002,2.27557143181
7275547;EUROPE;52 RUE DE ROME - 75108;48.8791052748,2.32215705925
7275569;MAIRIE DE CHEVILLY-LARUE;BOULEVARD DE CHEVILLY LARUE - 94021;48.7702471172,2.34858136365
7275637;STADE DE VANVES;FACE 14 RUE LARMEROUX - 92075;48.8162698929,2.28008109072
7275676;BALARD;PLACE BALARD - 75115;48.8364552707,2.27824807839
7275748;LE PARC;FACE 52 AVENUE LEDRU-ROLLIN - 94058;48.8416351963,2.49939617059
7305051;NOGENT-LE-PERREUX RER;AVENUE LEDRU-ROLLIN - 94052;48.8383525116,2.49434823641
7311988;LES PLATANES;ALL DES PLATANES - 77146;48.8298147009,2.64923984584
7311989;LES PLATANES;5 ALL DES PLATANES - 77146;48.8293754514,2.64880158699
7312012;FERME DU COUVENT;FACE 6 RUE DU COUVENT - 77468;48.8525561859,2.65497410437
7312020;LA MOGOTTE;RUE DE LA MOGOTTE - 77468;48.8515313627,2.63775356847
7312030;REPUBLIQUE;59-61 BOULEVARD DE LORRAINE - 77479;48.8703247486,2.64106408121
7312042;CHAMBRE DE COMMERCE ET D'INDUSTRIE;RUE DE LA MAISON ROUGE - 77258;48.825551256,2.62927255792
7312057;SOUS-PREFECTURE;RUE GERARD PHILIPE - 77468;48.8390228706,2.65083377981
7312075;CHATILLON - MONTROUGE-METRO;AVENUE JEAN JAURES - 92049;48.8119108595,2.30372364281
7312083;VACHE NOIRE - CENTRE COMMERCIAL;AVENUE LAPLACE - 94003;48.8096682639,2.32777005204
7312103;CIMETIERE PARISIEN - PLACE DU GENERAL DE GAULLE;RUE PAUL ANDRIEUX - 94041;48.8129806988,2.3697113241
7312144;ROND-POINT HENRI BARBUSSE;BOULEVARD HENRI BARBUSSE - 92046;48.8137743892,2.28691549029
7376108;JEAN MERMOZ;29 RUE DE LONGJUMEAU - 91377;48.7281777604,2.27934917568
7376132;FERNAND FENZY;80 AVENUE ARISTIDE BRIAND - 92002;48.7582087611,2.30704811551
7376154;RUE DES JARDINS;AVENUE ARISTIDE BRIAND - 94038;48.7802962432,2.33526906489
7376196;LENINE;FACE 50 AVENUE LAPLACE - 94003;48.8085629778,2.33094080084
7376206;STALINGRAD;78 AVENUE MAURICE BERTEAUX - 78586;48.9411990212,2.16491068636
7376228;LA BERTHIE;FACE 1 RUE LUCIEN SAMPAIX - 95063;48.9378375674,2.20715593925
7376253;FAUBOURG DE L'ARCHE;FACE 24 BOULEVARD DE LA MISSION MARCHAND - 92026;48.8967713495,2.23999991126
7376262;PONT DE NEUILLY - RIVE GAUCHE;BOULEVARD PIERRE GAUDIN - 92062;48.887110261,2.251901765
